en_name,cn_name
Beggar Prince (World) (v1.1) (Unl),nan
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-03-23)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-04-28)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-04-29)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-06)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-11)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-17)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-19)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-23)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-26)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-30)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-02)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-10)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-09)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-16)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-20)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-01)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-02)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-03)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-05)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-08)",卷毛熊露营冒险
"Berenstain Bears' Camping Adventure, The (USA)",卷毛熊露营冒险
Best of the Best - Championship Karate (Europe) (Proto),空手道
Best of the Best - Championship Karate (USA),空手道
Beyond Oasis (USA) (Beta) (1994-11-01),雷神传说
Beyond Oasis (USA),雷神传说
Beyond Zero Tolerance (USA) (Proto),nan
Bible Adventures (USA) (Unl),圣经冒险美
"Bill Walsh College Football (USA, Europe)",比尔渥休足球
Bill Walsh College Football 95 (USA),比尔渥休足球'95
Bill's Tomato Game (USA) (Proto),nan
Bimini Run (USA),高速竞艇
"Bio Hazard Battle (USA, Europe) (Beta)",亚生命战争(UE)
"Bio Hazard Battle (USA, Europe)",亚生命战争(UE)
Bishoujo Senshi Sailor Moon (Japan),美少女战士水冰月(J)
"Blades of Vengeance (USA, Europe)",复仇之刃(UE)
Blaster Master 2 (USA) (Beta),星际坦克-超惑星战记2
Blaster Master 2 (USA),星际坦克-超惑星战记2
Blockbuster World Video Game Championship II (USA),nan
Blockout (World),立体方块世界
"Bloodshot (Europe) (En,Fr,De,Es)",血腥射击
Blue Almanac (Japan),nan
Body Count (Brazil) (Beta) (1994-01-27),僵尸伯爵欧
Body Count (Brazil) (Beta) (1994-02-08),僵尸伯爵欧
Body Count (Brazil) (Beta) (1994-03-03),僵尸伯爵欧
Body Count (Brazil) (Beta) (1994-03-08),僵尸伯爵欧
Body Count (Brazil),僵尸伯爵欧
"Body Count (Europe) (En,Fr,De,Es,It) (Beta)",僵尸伯爵欧
"Body Count (Europe) (En,Fr,De,Es,It)",僵尸伯爵欧
