en_name,cn_name
God Panic - Shijou Saikyou no Gundan (Japan),上帝的恐慌 史上最强军团 （日版）
Godzilla (USA),哥斯拉 （美版）
Godzilla Bakutou Retsuden (Japan),哥斯拉爆斗列传 （日版）
Goetzendiener (Japan),偶像崇拜者 （日版）
Golden Axe (Japan),战斧 （日版）
Golden Axe (Japan) (Alt),战斧 （日版） (Alt)
Gradius II - Gofer no Yabou (Japan),宇宙巡航机 2 （日版）
GS (Ghost Sweeper) Mikami (Japan),GS美神 (Ghost Sweeper) Mikami （日版）
Gulclight TDF 2 (Japan),地球防卫军 2 （日版）
Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan),自我中心派麻将 激斗36雀士 （日版）
Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) (Alt),自我中心派麻将 激斗36雀士 （日版） (Alt)
Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan),自我中心派麻将 麻将谜题合集 （日版）
Hataraku Shoujo - Tekipaki Working Love (Japan),乐天少女俱乐部 （日版）
Hatsukoi Monogatari (Japan) (Rev 1),初恋物语 （日版） （修正版 1）
Hatsukoi Monogatari (Japan) (Rev 2),初恋物语 （日版） （修正版 2）
Hawiian Island Girls (USA) (Unl),夏威夷岛的女孩们 （美版） （非官方版）
Hawk F-123 (Japan),鹰 F-123 （日版）
Hellfire S - The Another Story (Japan),地狱火S （日版）
Henshin Engine (USA) (Unl) (Demo),变身动机 （美版） （非官方版） （演示版）
High Grenadier (Japan),高抛弹兵 （日版）
Hihou Densetsu - Chris no Bouken (Japan),秘宝伝説 克里斯的冒险 （日版）
Himitsu no Hanazono (Japan),秘密花园 （日版）
Horror Story (Japan),恐怖故事 （日版）
Hu PGA Tour - PowerGolf 2 - Golfer (Japan),胡PGA巡回赛-强力高尔夫2-高尔夫球手 （日版）
Human Sports Festival (Japan),运动大集合 （日版）
Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan),百物语~真的有恐怖的故事~ （日版）
Hyper Dyne - SideArms Special (Japan),绝对合体 （日版）
Hyper Dyne - SideArms Special (Japan) (Alt),绝对合体 （日版） (Alt)
