en_name,cn_name
Street Fighter Alpha 3 MAX,街头霸王Alpha3
Fight Night Round 3,拳击之夜3
Tiger Woods PGA Tour 06,泰格伍兹高尔夫球巡回赛2006
Tokimeki Memorial - Forever With You,心跳回忆-永远属于你
Sakura Taisen 1 & 2,樱花大战1&2
Samurai Warriors - State of War,战国无双
Dragon Ball Z - Shin Budokai,龙珠Z-真武道会
Lemmings,疯狂小旅鼠
WRC - FIA World Rally Championship,世界拉力锦标赛
Lemmings,疯狂小旅鼠
XI Coliseum,XI 骰子热爆
Pursuit Force,强力追击
Coded Arms,机密武装
Simple 2500 Series Portable Vol. 4 - The Unou Drill,廉价2500系列Vol.4-右脑训练
Bomberman - Bakufuu Sentai Bombermen,炸弹人-爆风战队
MX vs. ATV - On the Edge,究极大越野
Mega Man - Powered Up,洛克人洛克人
Daxter,达斯特
Neopets Petpet Adventures - The Wand of Wishing,宠物大冒险2
Syphon Filter - Dark Mirror,虹吸战士-黑镜
Biz Taiken Series - Kigyodo,起业道
I.Q. Mania,智商狂热
Viewtiful Joe - Battle Carnival,红侠乔伊-战斗嘉年华
Worms - Open Warfare,百战天虫-开战时刻
Me & My Katamari,我们的块魂
Samurai Warriors - State of War,战国无双
Nobunaga no Yabou - Reppuuden with Power Up Kit,信长野望-烈风传
Samurai Warriors - State of War,战国无双
Metal Gear Ac!d 2,合金装备
Tom Clancy's Splinter Cell - Essentials,细胞分裂-精华
Go! Sudoku,Go!数独
Daikoukai Jidai IV - Rota Nova,大航海时代4
Shin Sangoku Musou - 2nd Evolution,真三国无双-二度进化
Street Riders,街头赛车
Worms - Open Warfare,百战天虫-开战时刻
Capcom Classics Collection Remixed,卡普空经典游戏合集
Viewtiful Joe - Red Hot Rumble,红侠乔伊-战斗嘉年华
OutRun 2006 - Coast 2 Coast,OutRun 2006-海岸至海岸
Beit Hell 2000,打工地狱2000
Mega Man - Powered Up,洛克人洛克人
Untold Legends - Brotherhood of the Blade,无尽传说-刀锋兄弟会
Untold Legends - The Warrior's Code,无尽传说-勇者密码
Naruto - Narutimete Portable - Mugenjou no Maki,火影忍者-无幻城之卷
Exit,紧急出口
Densha de Go! Pocket - Osaka Kanjousen Hen,电车GO! 口袋版-大阪环状线篇
Jikkyou Powerful Pro Yakyuu Portable,实况力量棒球 携带版
Metal Gear Ac!d 2,合金装备
Me & My Katamari,我们的块魂
Tom Clancy's Splinter Cell - Essentials,细胞分裂-精华
Tokobot,遗迹大冒险
SpongeBob SquarePants - The Yellow Avenger,海绵先生-黄色复仇者
From Russia with Love - 007,詹姆斯邦德007-来自俄罗斯的爱
Bust-A-Move Deluxe,超级泡泡龙
Koukyou Shihen - Eureka Seven,交响诗篇-Eureka
Star Wars - Battlefront II,星球大战-前线2
Kao Challengers,百战小袋鼠-卡欧
Cabela's Dangerous Hunts - Ultimate Challenge,坎贝拉危险狩猎-终极挑战
Championship Manager 2006,冠军足球经理2006
Simple 2500 Series Portable Vol. 6 - The Sensha,廉价2500系列Vol.6-战车
Bust-A-Move Ghost,超级泡泡龙
SOCOM - U.S. Navy SEALs - Fireteam Bravo,海豹突击队-火线小组
Ultra Puzzle Bobble Pocket,超级泡泡龙 口袋版
Shanghai,上海
Jissen Pachi-Slot Hisshouhou! Portable - Aladdin 2 Evolution,实战柏青嫂必胜法!-阿拉丁2进化 携带版
Megami no Etsubo,女神的笑壶
Football Manager Handheld,足球经理
From Russia with Love - 007,詹姆斯邦德007-来自俄罗斯的爱
Gripshift,爆冲赛车
"Sims 2, The",模拟人生2
Piposaru Academia 2,比波猴学院2
Major League Baseball 2K6,美国职业棒球大联盟2006
Honkaku Yotarida Mahjong - Mahjong-Ou Portable,麻雀王
Daxter,达斯特
Dragon Ball Z - Shin Budokai,龙珠Z-真武道会
Oh's Talk English - UMD Disc 1,说话英语-UMD-Disc 1
Oh's Talk English - UMD Disc 2,说话英语-UMD-Disc 2
Simple 2500 Series Portable Vol. 5 - The Block Kuzushi Quest - Dragon Kingdom,廉价2500系列Vol.5-打砖块 龙之王国
World Poker Tour,世界扑克巡回赛
WRC - FIA World Rally Championship,世界拉力锦标赛
Minna no Chizu,大家的地图
Innocent Life - Shin Bokujou Monogatari,新牧场物语-无暇人生
OutRun 2006 - Coast 2 Coast,OutRun 2006-海岸至海岸
Shinseiki Evangelion 2 - Tsukurareshi Sekai - Another Cases - Limited Edition,新世纪福音战士2-人造世界 Another Cases-限量版
Mai-Hime Senretsu! Shin Fuuka Gakuen Gekitoushi!!,舞-HiME 鲜裂!真风华学园激斗史
Rengoku II - The Stairway to H.E.A.V.E.N.,炼狱2
"Dog - Happy Life, The",幸福小狗生活 第1弹
Armored Core - Formula Front Extreme Battle,装甲核心-方程式前线 终极战役
Ape Escape P,捉猴啦P!
Monster Hunter Freedom,怪物猎人 携带版
NBA Ballers Rebound,NBA球员反击
Me & My Katamari,我们的块魂
Koloomn,科隆方块
Dragon Ball Z - Shin Budokai,龙珠Z-真武道会
Metal Gear Ac!d 2,合金装备
Viewtiful Joe - Red Hot Rumble,红侠乔伊-战斗嘉年华
FIFA World Cup - Germany 2006,FIFA足球 2006德国世界杯
Puyo Pop Fever,噗哟噗喲 狂热
Field Commander,战地指挥官
Dragon Quest & Final Fantasy in Itadaki Street Portable,富豪街-勇者斗恶龙&最终幻想 携带版
Magna Carta Portable,真名法典 携带版
Pac-Man World 3,吃豆人世界3
FIFA World Cup - Germany 2006,FIFA足球 2006德国世界杯
Monster Hunter Freedom,怪物猎人 携带版
Lemmings,疯狂小旅鼠
Aedeus Memories Shinten Makai - GOC V,新天魔界混沌时代5
Talkman Euro,翻译精灵 欧洲语言
FIFA World Cup - Germany 2006,FIFA足球 2006德国世界杯
Kamaitachi no Yoru 2 - Tokubetsuhen,恐怖惊魂夜2-特别篇
Kahashima Ryuuta Kyouju Kanshuu Nou Chikara Trainer Portable 2,脑力训练者2 携带版
007 - Russia Yori Ai o Komete,詹姆斯邦德007-来自俄罗斯的爱007 -
FIFA 06,FIFA足球2006
Spider-Man 2,蜘蛛侠2
World Poker Tour,世界扑克巡回赛
Gradius Collection,宇宙巡航机 携带版
Astonishia Story,阿斯特尼西亚物语
Race Driver 2006,超级房车赛2006
Cars,汽车总动员
Tomb Raider - Legend,古墓丽影-传奇
TalkMan,翻译精灵
Doko Demo Issho - Let's Gakkou!,随身玩伴-学校生活
Puzzle Challenge - Crosswords and More!,益智挑战-纵横填字谜
PoPoLoCrois,波波罗古罗伊斯物语-陂耶多罗王子的冒险
Metal Gear Solid - Digital Graphic Novel,合金装备-电子漫画
Taito Memories Pocket,Taito记忆 口袋版
Astonishia Story,阿斯特尼西亚物语
World Tour Soccer 2,世界足球巡回赛2
"Legend of Heroes II - Prophecy of the Moonlight Witch, The",英雄传说-白发魔女
Kenichirou Hakase Kanshuu - Nou ni Kaikan - Aha Taiken,脑内快感 轻松体验
FIFA World Cup - Germany 2006,FIFA足球 2006德国世界杯
Gitaroo-Man Lives!,吉他小子
Loco Roco,乐克乐克
Sound Novel Portable Machi - Unmei no Kosaten Tokubetsu Hen,街-命运的十字路口 特别篇
Daito Giken Koushiki Pachi-Slot Simulator - Yoshimune Portable,大都技研公式 模拟柏青嫂-吉宗 携带版
Tenchu - Time of the Assassins,天诛-忍大全
Kazuo,Go!数独
Pirates of the Caribbean - Dead Man's Chest,加勒比海盗-聚魂棺
Koro Koro!! Kollon,科隆方块2
Myst,神秘岛
Boku wa Koukuu Kanseikan - Airport Hero Narita,我是航空管制官-机场英雄成田
Lisa to Isshoni Dairoku Oudan - A Ressha de Gyoukou,与莉萨一起横越大陆-坐A列车去吧
Super Monkey Ball Adventure,超级猴子球
Micro Machines V4,微型机器V4
Untold Legends - The Warrior's Code,无尽传说-勇者密码
Tony Hawk's Underground 2 - Remix,托尼霍克地下滑板2-复刻版
V8 Supercars Australia 2,超级房车赛2
X-Men Legends II - Rise of Apocalypse,X战警传奇2-天启降临
Tomb Raider - Legend,古墓丽影-传奇
Juiced - Eliminator,极品醉车-消除器
Boku no Natsuyasumi Portable,我的暑假 携带版
Gurumin,咕噜小天使
World Tour Soccer 06,世界足球巡回赛06
Pirates of the Caribbean - Dead Man's Chest,加勒比海盗-聚魂棺
Tekken - Dark Resurrection,铁拳-黑暗复苏
Brave Story - Aratanaru Tabibito,勇敢的故事-新的冒险者
Cars,汽车总动员
Loco Roco,乐克乐克
FIFA World Cup - Germany 2006,FIFA足球 2006德国世界杯
MTX Mototrax,MTX越野摩托
Loco Roco,乐克乐克
Jukugon,塾魂
Tengai Makyou - Daishi no Mokushiroku,天外魔境-第四默示录
PQ - Practical Intelligence Quotient,智能执照
Quiz Kidou Senshi Gundam - Monsenshi DX,益智机动战士高达 问战士DX
NCAA Football 2007,美国大学橄榄球联赛2007
Cars,汽车总动员
Miami Vice - The Game,迈阿密风云
Finder Love - Risa Kudo - Fast Shoot wa Kimi to,寻找爱-工藤里纱
Nana - Subete wa Daimaou no Omichibiki,NANA-大富翁
