en_name,cn_name
Bishoujo Senshi Sailor Moon - Another Story (Japan),美少女战士2(日)
Bishoujo Senshi Sailor Moon R (Japan),美少女战士R(日)
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan),美少女战士射波2(日)
Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan),美少女战士S-方块大战
Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan),美少女战士S-3(日)
Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan),美少女战士射波(日)
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan),美少女战士超级S(日)
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan),美少女摔角列传
BlaZeon (Japan) (En),究极合体战机(日)
BlaZeon - The Bio-Cyborg Challenge (USA),究极合体战机(美)
"Blackhawk (Europe) (En,Fr,De)",黑暗之鹰(欧)
Blackthorne (USA) (Beta) (CES Version),黑暗之鹰(美)(测试版)
Blackthorne (USA),黑暗之鹰(美)(测试版)
Blackthorne - Fukushuu no Kuroki Toge (Japan),黑暗之鹰
Blanco World Class Rugby (France),世界级橄榄球法版
Blazing Skies (Europe),飞行密令(欧)
Block Kuzushi (Japan),究极打砖块(日)
"Blue Crystalrod, The (Japan)",色水晶杖(日)
"Blues Brothers, The (Europe) (Beta)",布鲁斯兄弟(欧)(测试版)
"Blues Brothers, The (Europe)",布鲁斯兄弟(欧)(测试版)
"Blues Brothers, The (Japan)",布鲁斯兄弟(欧)(测试版)
"Blues Brothers, The (USA)",布鲁斯兄弟(欧)(测试版)
Bobby's World (USA) (Proto),波比的世界(美)(测试版)
Bokujou Monogatari (Japan) (Rev 1),牧场物语(日)(V1.0)
Bokujou Monogatari (Japan),牧场物语(日)(V1.0)
Bomber Man B-Daman (Japan),轰炸超人益智篇(日)
Bombuzal (Japan),爆破精灵(日)
Bonkers (USA),邦克大进击(美)
Bonkers - Hollywood Daisakusen! (Japan),邦克大进击(日)
Boogerman - A Pick and Flick Adventure (Europe),伯格人(欧)
Boogerman - A Pick and Flick Adventure (USA),伯格人(欧)
Bounty Sword (Japan) (Beta) (1995-05-16),赏金剑客(日)
Bounty Sword (Japan),赏金剑客(日)
Boxing Legends of the Ring (Europe),拳击-铃声传说(欧)
Boxing Legends of the Ring (USA),拳击-铃声传说(欧)
Brain Lord (Japan),智慧王者(日)
Brain Lord (USA),智慧王者(日)
"Brainies, The (Europe)",动动脑(欧)
"Brainies, The (USA)",动动脑(欧)
Bram Stoker's Dracula (Europe),吸血鬼德古拉(欧)
Bram Stoker's Dracula (USA) (Beta),吸血鬼德古拉(欧)
Bram Stoker's Dracula (USA),吸血鬼德古拉(欧)
Brandish (Japan),星间游侠(日)
Brandish (USA),星间游侠(日)
Brandish 2 - Expert (Japan),星间游侠2(日)
Brandish 2 - The Planet Buster (Japan),星间游侠2(日)
Brawl Brothers (USA),快打刑事(美)
Brawl Brothers - Rival Turf! 2 (Europe),斗殴兄弟-竞争对手地盘
BreakThru! (USA),点点方块(美)
Breath of Fire (USA),龙战士(美)
Breath of Fire - Ryuu no Senshi (Japan) (Rev 1),龙战士(日)
Breath of Fire - Ryuu no Senshi (Japan),龙战士(日)
Breath of Fire II (Europe),龙战士2(欧)
Breath of Fire II (USA) (Beta),龙战士2(欧)
Breath of Fire II (USA),龙战士2(欧)
Breath of Fire II - Shimei no Ko (Japan) (Rev 1),龙战士2(日)(V1.0)
Breath of Fire II - Shimei no Ko (Japan),龙战士2(日)(V1.0)
Brett Hull Hockey (Europe),冰上曲棍球(欧)
Brett Hull Hockey (USA),冰上曲棍球(欧)
Brett Hull Hockey 95 (USA),布雷特赫尔曲棍球95
"Bronkie the Bronchiasaurus (USA) (En,Es)",小恐龙大进击美版
Brunswick World Tournament of Champions (USA),巴嗯史威克保龄球美版
"Brutal - Paws of Fury (Europe) (En,Fr,De)",动物快打(欧)(M3)
Brutal - Paws of Fury (USA) (Beta),动物快打(欧)(M3)
Brutal - Paws of Fury (USA),动物快打(欧)(M3)
Bubsy II (Europe),巴比斯2(欧)
Bubsy II (USA),巴比斯2(欧)
Bubsy in - Claws Encounters of the Furred Kind (Europe),巴比斯欧版
Bubsy in - Claws Encounters of the Furred Kind (Germany) (En),巴比斯欧版
Bubsy in - Claws Encounters of the Furred Kind (USA),巴比斯欧版
Bubsy in Claws Encounters of the Furred Kind (USA) (Beta 1),巴比斯(欧)
Bubsy in Claws Encounters of the Furred Kind (USA) (Beta 2),巴比斯(欧)
Buck Rogers - The Arcade Game (USA) (Beta),nan
"Bug's Life, A (World) (Unl) (Pirate)0",nan
Bugs Bunny - Hachamecha Daibouken (Japan),兔宝宝(日)
Bugs Bunny - Rabbit Rampage (Europe),兔宝宝欧版zip
Bugs Bunny - Rabbit Rampage (USA),兔宝宝欧版zip
Bulls vs Blazers and the NBA Playoffs (Europe) (Rev 1),公牛VS.Blazers(欧)(V1.0)
Bulls vs Blazers and the NBA Playoffs (Europe),公牛VS.Blazers(欧)(V1.0)
Bulls vs Blazers and the NBA Playoffs (USA) (Rev 1),公牛VS.Blazers(欧)(V1.0)
Bulls vs Blazers and the NBA Playoffs (USA),公牛VS.Blazers(欧)(V1.0)
Burai - Hachigyoku no Yuushi Densetsu (Japan),光明八勇士(日)
Bushi Seiryuuden - Futari no Yuusha (Japan),青龙传(日)
Bust-A-Move (USA),泡泡龙(美)
CB Chara Wars - Ushinawareta Gag (Japan),CB世界(日)
CX4 (World) (Enhancement Chip),nan
Cacoma Knight (Japan),卡通天蚕变(日)
Cacoma Knight in Bizyland (USA),卡通天蚕变美版
Cal Ripken Jr. Baseball (Europe),卡尔棒球(欧)
Cal Ripken Jr. Baseball (USA) (Beta),卡尔棒球(欧)
Cal Ripken Jr. Baseball (USA),卡尔棒球(欧)
"California Games II (Europe) (En,Fr,De)",加州游戏2(欧)(M3)
"California Games II (Japan) (En,Ja)",加州游戏2(欧)(M3)
California Games II (USA),加州游戏2(欧)(M3)
Cameltry (Japan),360度滚球(日)
Cannon Fodder (Europe),勇士们(欧)
Cannondale Cup (USA),无敌风火轮脚踏车(美)
Capcom's MVP Football (USA),卡普空MVP足球(美)
Capcom's Soccer Shootout (USA) (Beta),卡普空足球射网(美)
Capcom's Soccer Shootout (USA),卡普空足球射网(美)
Captain America and the Avengers (Europe),美国上尉(美)
Captain America and the Avengers (USA),美国上尉(美)
Captain Commando (Europe),上尉密令(欧)
Captain Commando (Japan),上尉密令(欧)
Captain Commando (USA),上尉密令(欧)
"Captain Novolin (USA) (En,Fr,Es)",健康管理上尉(美)(M3)
Captain Tsubasa III - Koutei no Chousen (Japan),天使之翼3(日)
Captain Tsubasa IV - Pro no Rival-tachi (Japan),天使之翼4(日)
Captain Tsubasa J - The Way to World Youth (Japan),天使之翼J(日)
Captain Tsubasa V - Hasha no Shougou Campione (Japan),天使之翼5(日)
Caravan Shooting Collection (Japan) (En),射击游戏合辑(日)
Card Master - Rimusaria no Fuuin (Japan),魔幻精灵卡(日)
Carrier Aces (Europe),神风特攻队(欧)
Carrier Aces (Japan) (En),神风特攻队(欧)
Carrier Aces (USA),神风特攻队(欧)
Casper (Europe),鬼马小精灵(欧)
Casper (Japan),鬼马小精灵(欧)
Casper (USA),鬼马小精灵(欧)
Cassette Kensaki - NUS-you S Cassette (Japan) (En),nan
Castlevania - Dracula X (USA),恶魔城X(美)
Castlevania - Vampire's Kiss (Europe),恶魔城(欧)
"Champions - World Class Soccer (Europe) (En,Fr,De,Es)",世界级足球赛欧版
Champions - World Class Soccer (Japan),世界级足球赛欧版
"Champions - World Class Soccer (USA) (En,Fr,De,Es)",世界级足球赛欧版
Championship Pool (Europe),撞球冠军赛(欧)
Championship Pool (USA),撞球冠军赛(欧)
"Championship Soccer '94 (USA) (En,Fr,De,It)",冠军足球赛94(美)(M4)
"Chaos Engine, The (Europe)",混乱引擎(欧)
Chaos Seed - Fuusui Kairouki (Japan),风水迴廊记(日)
Chavez (USA) (Beta),查尔斯拳击(美)(测试版)
Chavez (USA) (Es),查尔斯拳击(美)(测试版)
