en_name,cn_name
Growlanser (J) (S RPG) (Atlus),梦幻骑士 A
Growlanser (J) (S RPG) (Atlus),梦幻骑士 B
Guitar Freaks (J) (MUG) (Konami),吉他
Guitar Freaks 2nd Mix (J) (MUG) (Konami),吉他 2
Gundam Battle Assault 2 (U) (FTG) (Bandai),高达格斗 2
Gunnm - Martian Memory (J) (RPG) (Banpresto),铳梦 - 火星的记忆
Gunparade March (J) (AVG) (SCE),高机动幻想
Happy Hotel (J) (SLG) (Tohoku Shinsha),快乐酒店
Harvest Moon Back To Nature (E) (RPG) (Victor Interactive Software),牧场物语 - 回归自然
Harvest Moon Back To Nature (J) (RPG) (Victor Interactive Software),牧场物语 - 回归自然
Harvest Moon Back To Nature For Girls (J) (RPG) (Victor Interactive Software),牧场物语 - 女孩版
Heart Of Darkness (U) (ACT) (Interplay),黑暗之心 A
Heart Of Darkness (U) (ACT) (Interplay),黑暗之心 B
Heisa Byouin (J) (AVG) (Visit),闭锁病院
Herc's Adventures (U) (ACT) (LucasArts),大力神的冒险
Hikaru No Go Insei Chojyokessen (J) (AVG) (Konami),棋魂 - 院生顶上决战
Hokuto No Ken Seiki Matsukyu Seishi Densetsu (J) (ACT) (Bandai),北斗神拳 - 世纪末救世主传说
Hoshigami Ruining Blue Earth (J) (S RPG) (Max Five),星神
Hot Shots Golf 2 (U) (SPG) (SCEA),大众高尔夫 2
Hunter X Hunter Maboroshi No Greed Island (J) (RPG) (Konami),猎人 - 幻之贪婪岛
Hunter X Hunter Ubawareta Aura Stone (J) (RPG) (Konami),猎人 2
Hyouryuuki The Reportage Beyond The Sea (J) (SLG) (KSS),漂流记
Ishin No Arashi Bakumatsushishiden (J) (SLG) (Koei),维新之岚 - 幕末志士传
Jade Cocoon Story Of Tamamayu (U) (RPG) (Genki),玉茧物语
Jinguji Saburo Early Collection (J) (AVG) (Data East),侦探神宫寺三郎 - 复刻版合集
Jinguji Saburo Mikan No Rupo Popular Edition (J) (AVG) (Data East),侦探神宫寺三郎 - 未完的报告 普及版
Jinguji Saburo Tomoshibi Ga Kienumani (J) (AVG) (Data East),侦探神宫寺三郎 - 灯火消失的瞬间
Jinguji Saburo Yume No Owarini (J) (AVG) (Data East),侦探神宫寺三郎 - 梦的终结
Jojo's Bizarre Adventure (J) (FTG) (Capcom),乔乔的奇妙冒险
Kagero (J) (AVG) (Tecmo),影牢
Kaitei Taisensou (J) (STG) (Xing),海底大战争
Kamen Rider Agito (J) (FTG) (Bandai),假面骑士 - 阿基多
Kamen Rider Ryuki (J) (FTG) (Bandai),假面骑士 - 龙骑
