en_name,cn_name
Labyrinth no Kanata (JP),拉比利斯的彼方(日)RPG(角色扮演)
Ken to Mahou to Gakuen Mono. 3D (JP),剑、魔法与学园3D (日)RPG(角色扮演)
Bokujou Monogatari – Hajimari no Daichi (JP),牧场物语 起源的大地 (日)Strategy(策略)
Naruto Shippuden – Shinobi Rittai Emaki! Saikyou Ninkai Kessen!! (JP),火影忍者疾风传 忍立体绘卷！最强忍界决战！(日)ACT(动作类)
Luigi Mansion 2 (JP),路易鬼屋 暗黑之月(日)ACT(动作类)
Super Pokemon Scramble (JP),超级口袋妖怪 乱战(日)ACT(动作类)
Steel Diver (JP),钢铁机师(日)SIM(模拟类)
Cubic Ninja (JP),立体忍者(日)ETC(益智类)
Rabbids Time Travel (JP),疯狂兔子 时间旅行(日)ACT(动作类)
Touch! Double Pen Sports (JP),双笔运动(日)SPG(体育类)
Shin Megami Tensei IV (CN),真女神转生4(港台)SIM(模拟养成类)
Nintendogs + Cats – French Bulldog & New Friends (CN),任天猫狗 法国斗牛犬与新伙伴(港台)SIM(模拟养成类)
Nintendogs + Cats – Shiba and New Friends (CN),任天猫狗 柴犬与新伙伴(港台)SIM(模拟养成类)
Nintendogs + Cats – Toy Poodle & New Friends (CN),任天猫狗 玩具贵宾犬与新伙伴(港台)
Mario Tennis Open (CN),马里奥网球OPEN(港台)SPG(运动类)
New Super Mario Brothers 2 (CN),新超级马里奥兄弟2(港台)ACT(动作类)
Super Mario 3D Land (CN),超级马里奥3D 大陆(港台)SPG(运动类)
Star Fox 64 3D (CN),星际火狐64 3D(港台)STG(射击类)
Tohoku Daigaku Karei Igaku Kenkyuusho – Monosugoku Nou wo Kitaeru 5-Funkan no Oni Training (CN),突破极限 脑的5分钟魔鬼锻炼(港台)ETC(益智类)
Luigi's Mansion 2 (CN),路易鬼屋 暗黑之月(港台)ACT(动作类)
Etrian Odyssey IV – Legends of the Titan (EU),世界树迷宫4 传承的巨神
Purr Pals – Purrfection (EU)(M5),喵呜伙伴 完美感受(欧)SIM(模拟养成类)
Rune Factory 4 (JP),符文工房4(日)RPG(角色扮演)
Code of Princess (JP),公主代码(日)ACT(动作类)
