en_name,cn_name
Run Like Hell!,地狱暴走 [英文版]
Dragon Fin Soup,龙翅汤 [英文版]
Warriors Orochi 3 Ultimate,无双大蛇 2 终极版 [英文版]
Rogue Legacy,盗贼遗产 [英文版]
Don't Starve: Giant Edition,饥荒：巨人版 [英文版]
PixelJunk Shooter Ultimate,像素垃圾：射手 终极版 [英文版]
Crimsonland,血腥大地 [英文版]
Sparkle 2,闪耀祖玛 2 [英文版]
Mahjong Gold,黄金麻将 [英文版]
Magical Beat,魔幻节拍 [英文版]
Phantom Breaker: Battlegrounds,幻象破坏者：战场 [英文版]
My Singing Monsters,怪兽音乐会 [英文版]
NAtURAL DOCtRINE,自然法则 [英文版]
Race the Sun,逐日飞翔 [英文版]
Soldner-X 2: Final Prototype,X战将 2：最终原型 [英文版]
Sword Art Online -Hollow Fragment-,刀剑神域：虚空断章 [英文版]
Atelier Rorona Plus: The Alchemist of Arland,新罗罗娜的炼金工房：起始物语 亚兰德的炼金术士 [英文版]
Toukiden: Kiwami,讨鬼传：极 [英文版]
Citizens of Earth,地球公民 [英文版]
Senran Kagura Bon Appetit! (Hanzo x Crimson Squad),忍乳负重 闪乱神乐 [英文版]
Another World: 20th Anniversary Edition,另一个世界：20周年纪念版 [英文版]
Kilka Card Gods,Kilka牌神 [英文版]
Joe Danger 2: The Movie,绝技飞车手 2：大电影 [英文版]
Joe Danger,绝技飞车手 [英文版]
OlliOlli2: Welcome to Olliwood,像素滑板 2：欢迎来到奥莱坞 [英文版]
Child of Light,光之子 [英文版]
FIFA 15 (ENG),FIFA 15 [英文版]
FIFA 15 (FRA),FIFA 15 [小语种版]
Foul Play,小迷糊闯七关 [英文版]
Kick & Fennick,提克和芬尼克 [英文版]
Project Root,根源计划 [英文版]
Gravity Badgers,重力獾 [中英文版]
Senran Kagura: Bon Appetit! Stacked Soundtrack,忍乳负重 闪乱神乐 原声 [英文版]
Panda Run,熊猫快跑 [英文版]
Minecraft: PlayStation Vita Edition,我的世界 [中英文版]
VVVVVV,VVVVVV [英文版]
Switch Galaxy Ultra,极速空间：星系 最终版 [英文版]
Futuridium EP Deluxe,最未来 豪华版 [英文版]
A Virus Named TOM,汤姆病毒 [英文版]
Samurai Warriors 4,战国无双 4 [英文版]
Final Horizon,最终地平线 [英文版]
Rugby 15,世界杯橄榄球赛 15 [英文版]
Vitamin Z,维他命 Z [英文版]
The Binding of Isaac: Rebirth,以撒的结合：重生 [英文版]
Hyperdimension Neptunia: Re;Birth2 Sisters Generation,超次元海王星：重生 2 姐妹时代 [英文版]
Tokyo Twilight Ghost Hunters,魔都红色幽击队 [英文版]
Rollers of the Realm,王国弹珠台 [英文版]
Nidhogg,尼德霍克 [英文版]
Criminal Girls: Invite Only,罪恶少女：诱惑 [英文版]
Damascus Gear: Operation Tokyo,大马士革机器人：东京始战 [英文版]
Woah Dave!,哇哦戴夫！ [英文版]
Disney Infinity 2.0,迪斯尼：无限 2.0 [英文版]
Tetris Ultimate,俄罗斯方块 终极版 [英文版]
The Bridge,桥 [中日英韩文版]
Reel Fishing: Master's Challenge,鱼之眼：大师挑战 [英文版]
htoL#NiQ: The Firefly Diary,萤火虫日记 [英文版]
Frozen Synapse Prime,冰封触点 精简版 [英文版]
MotoGP 14,摩托GP 14 [英文版]
MXGP - The Official Motocross Videogame,越野摩托车 [英文版]
